Z:\home\cetin\projects\elkarto\esp32\laptop>python monitor.py
connecting to ws://192.168.4.1:81 ...
connected. type: kp <kp> <ki> <kd>  to push new PID gains
[11:43:08] gas=2161 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:08] gas=2157 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:08] gas=2158 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:08] gas=2155 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:08] gas=2058 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=68000ms heap=223316B clients=1
[11:43:09] gas=2073 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2075 brake=3383 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2073 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2159 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2160 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2162 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2159 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2211 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2205 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2180 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2180 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2182 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2177 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2178 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2176 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2175 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2171 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2170 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2168 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:09] gas=2078 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2079 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2080 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2165 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2171 brake=3366 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2166 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2167 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2165 brake=3373 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2165 brake=3370 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2159 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2164 brake=3365 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2102 brake=3389 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2098 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2102 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2103 brake=3371 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2106 brake=3369 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2100 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2103 brake=3367 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[11:43:10] gas=2098 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
[esp32] uptime=70000ms heap=223316B clients=1
[11:43:11] gas=2099 brake=3368 servo=120 | target=0 motor_pos=0 error=+0 output=+0.0
